,Date,Subject,Pass Mark,Candidates Entered,Candidates Passed,Pass Rate,Filepath
177,april 2022,sp2,53,423,157,0.37115839243498816,pdfs2\IandF_SP2_202204_ Examiner Report.pdf
178,september 2022,sp2,50,455,152,0.33406593406593404,pdfs2\IandF_SP2_202209_Examiner Report.pdf
179,april 2023,sp2,55,580,272,0.4689655172413793,pdfs2\IandF_SP2_202304_Examiner report.pdf
180,september 2023,sp2,56,567,231,0.4074074074074074,pdfs2\IandF_SP2_202309_Examiner Report.pdf
181,april 2019,sp4,60,Error,Error,Error,pdfs2\IandF_SP4_201904_Examiners_Report.pdf
182,september 2019,sp4,60,Error,Error,Error,pdfs2\IandF_SP4_201909_Examiners_Report.pdf
183,april 2020,sp4,62,177,46,0.2598870056497175,pdfs2\IandF_SP4_202004_Examiners_Report.pdf
184,september 2020,sp4,63,226,81,0.3584070796460177,pdfs2\IandF_SP4_202009_Examiners_Report.pdf
185,april 2021,sp4,63,178,74,0.4157303370786517,pdfs2\IandF_SP4_202104_Examiners_Report.pdf
186,september 2021,sp4,62,172,96,0.5581395348837209,pdfs2\IandF_SP4_202109_ Examiner Report.pdf
187,april 2022,sp4,64,137,75,0.5474452554744526,pdfs2\IandF_SP4_202204_ Examiner Report.pdf
188,september 2022,sp4,60,128,66,0.515625,pdfs2\IandF_SP4_202209_Examiner Report.pdf
189,april 2023,sp4,65,135,70,0.5185185185185185,pdfs2\IandF_SP4_202304_Examiner report.pdf
190,september 2023,sp4,63,158,80,0.5063291139240507,pdfs2\IandF_SP4_202309_Examiners Report.pdf
191,september 2019,sp5,58,Error,Error,Error,pdfs2\IandF_SP5_201909_Examiners_Report.pdf
192,april 2020,sp5,64,249,112,0.4497991967871486,pdfs2\IandF_SP5_202004_Examiners_Report_1.1.pdf
193,april 2021,sp5,55,280,122,0.4357142857142857,pdfs2\IandF_SP5_202104_Examiners_Report.pdf
194,september 2021,sp5,56,279,128,0.45878136200716846,pdfs2\IandF_SP5_202109_ Examiner Report.pdf
195,april 2022,sp5,57,256,115,0.44921875,pdfs2\IandF_SP5_202204_Examiner Report.pdf
196,september 2022,sp5,64,255,119,0.4666666666666667,pdfs2\IandF_SP5_202209_Examiner Report.pdf
197,april 2023,sp5,62,237,113,0.4767932489451477,pdfs2\IandF_SP5_202304_Examiner Report.pdf
198,september 2023,sp5,63,300,153,0.51,pdfs2\IandF_SP5_202309_Examiner Report.pdf
199,september 2021,sp6,60,38,15,0.39473684210526316,pdfs2\IandF_SP6 _202109_Examiner report.pdf
200,april 2019,sp6,60,Error,Error,Error,pdfs2\IandF_SP6_201904_Examiners_Report.pdf
201,september 2019,sp6,60,Error,Error,Error,pdfs2\IandF_SP6_201909_Examiners_Report.pdf
202,september 2020,sp6,60,68,23,0.3382352941176471,pdfs2\IandF_SP6_202009_Examiners_Report.pdf
203,april 2021,sp6,60,49,19,0.3877551020408163,pdfs2\IandF_SP6_202104_Examiners_Report.pdf
204,april 2022,sp6,55,41,11,0.2682926829268293,pdfs2\IandF_SP6_202204_ Examiner Report.pdf
205,september 2022,sp6,60,53,18,0.33962264150943394,pdfs2\IandF_SP6_202209_Examiner Report.pdf
206,april 2023,sp6,60,45,24,0.5333333333333333,pdfs2\IandF_SP6_202304_Examiner report.pdf
207,september 2023,sp6,60,45,27,0.6,pdfs2\IandF_SP6_202309_Examiner Report.pdf
208,april 2019,sp7,65,Error,Error,Error,pdfs2\IandF_SP7_201904_Examiners_Report.pdf
209,september 2019,sp7,61,Error,Error,Error,pdfs2\IandF_SP7_201909_Examiners_Report.pdf
210,april 2020,sp7,58,254,53,0.20866141732283464,pdfs2\IandF_SP7_202004_Examiners_Report_1.1.pdf
211,september 2020,sp7,59,399,80,0.20050125313283207,pdfs2\IandF_SP7_202009_Examiners_Report.pdf
212,april 2021,sp7,65,399,187,0.46867167919799496,pdfs2\IandF_SP7_202104_Examiners_Report.pdf
213,september 2021,sp7,61,295,112,0.37966101694915255,pdfs2\IandF_SP7_202109_ Examiner Report.pdf
214,september 2022,sp7,61,315,119,0.37777777777777777,pdfs2\IandF_SP7_202209_Examiner Report.pdf
215,april 2023,sp7,59,342,146,0.4269005847953216,pdfs2\IandF_SP7_202304_Examiner Report.pdf
216,september 2023,sp7,64,372,154,0.41397849462365593,pdfs2\IandF_SP7_202309_Examiner Report.pdf
217,april 2022,sp7,64,317,141,0.444794952681388,pdfs2\IandF_SP7__202204_Examiner Report.pdf
218,april 2019,sp8,60,Error,Error,Error,pdfs2\IandF_SP8_201904_Examiners_Report.pdf
219,september 2019,sp8,57,Error,Error,Error,pdfs2\IandF_SP8_201909_Examiners_Report.pdf
220,april 2020,sp8,60,274,111,0.4051094890510949,pdfs2\IandF_SP8_202004_Examiners_Report_1.1.pdf
221,september 2020,sp8,57,337,125,0.37091988130563797,pdfs2\IandF_SP8_202009_Examiners_Report.pdf
222,april 2021,sp8,59,325,107,0.3292307692307692,pdfs2\IandF_SP8_202104_Examiners_Report.pdf
223,september 2021,sp8,50,285,104,0.3649122807017544,pdfs2\IandF_SP8_202109_ Examiner Report.pdf
224,september 2022,sp8,57,316,134,0.4240506329113924,pdfs2\IandF_SP8_202209_Examiner Report.pdf
225,april 2023,sp8,55,351,121,0.34472934472934474,pdfs2\IandF_SP8_202304_Examiner Report.pdf
226,september 2023,sp8,60,389,171,0.43958868894601544,pdfs2\IandF_SP8_202309_Examiner Report.pdf
227,april 2019,sp9,61,Error,Error,Error,pdfs2\IandF_SP9_201904_Examiners_Report.pdf
228,september 2019,sp9,63,Error,Error,Error,pdfs2\IandF_SP9_201909_Examiners_Report.pdf
229,april 2020,sp9,64,268,68,0.2537313432835821,pdfs2\IandF_SP9_202004_Examiners_Report_1.2.pdf
230,september 2020,sp9,61,329,132,0.4012158054711246,pdfs2\IandF_SP9_202009_Examiners_Report.pdf
231,april 2021,sp9,61,273,67,0.2454212454212454,pdfs2\IandF_SP9_202104_Examiners_Report.pdf
